Title,Artist,Lyrics
Ambition - feat. Meek Mill & Rick Ross,Wale,"The time is now, on e'rything
Took my heart away from money
I ain't interested in fame
And I pray that never change
Ambition is priceless
It's something that's in your veins
And I put that on my name

Uh, only hope I had was selling dope
Was on my grind 'cause times was harder than a cellar floor
My momma taught me never steal and never tell on folks
I grew up looking up to niggas that was selling coke
Oh, I was raised by the stop sign
No religion, I was getting saved by the Glock 9
By the minute, I was getting paid like a hot line
Serving raw, fiends was calling, we was dot com

Well connected, well respected and well protected
Ain't get accepted, was rejected, and now they regret it
Ain't get my message, was no signal when I was texting
The niggas I was calling was fraud and I learned my lesson
Now I move with aggression, use my mind as a weapon
'Cause chances are never given, they tooken like interceptions
So throw that pass, I'll be the cornerback
Me and Folarin MMG gon' bring that Warner back

For my ambition
Easy to dream a dream, though it's harder to live it
They gon' love me for my ambition
Easy to dream a dream, though it's harder to live it
..."
Jump Out the Face (feat. Future),Meek Mill feat. Future,"I just took a Perc' now I'm on another level
Tasting on the molly got me dancing with the devil
Poured 8th for Kobe Bryant mixing purple with the yellow
Got these racks on me now, it's hard to keep this shit together

Jump out the 'Rari then jump out the Wraith
Then I hop in Margiela then hop in some Bape
They jump out the face
They jump out the face
Money gon' stack and this money gon' fall though

Came from the hood now we jump out of states
Peep all these diamonds they jump out the face
Ducking them diamonds and selling this white
Gotta watch for these niggas they'll jump on your case
(You watch all these niggas, these niggas ain't playing)
And none of this money don't come out the safe
Fuck with my dawg, knock a chunk out ya face
Nigga I be so high, I could jump out to space
What the fuck did I say?

I be so fly, just don't shoot my cape
Went and bought me a safe and it came with a Wraith
Got some new money went and bought me a K
..."
We Ball,Meek Mill feat. Young Thug,"Yeah!
RIP Dex Osama
Lil Snupe
All the fallen soldiers
Scooter, Truce

When they killed my nigga Snupe I seen my young nigga
In the casket he ain't even have no blood in him
Prolly the reason why I keep taking these drugs quicker
Ain't got no patience for these motherfuckin' fuck niggas
I watch everybody change, they thought I lost it
But now they all bustin' U-ies its goin' cost 'em

I seen Chino shut the casket on the coffin (Truce)
Killed his only big brother and we lost him
So I'ma hold it down 'til we all win
We've been at the clear port ballin'
I just want to see my niggas flossin'
Hundred bands everytime I walk in

If you keep it trill you'll get a blessing for it
Deep down in the trenches with that Wesson on me
My mama, she can't sleep, I come here early mornings (mama)
But mama I got thirty in this dirty .40
Any weapon formed against me shall not prosper
Used to pray them Ramen noodles turned to lobster
..."
Hot (feat. Moneybagg Yo),Meek Mill feat. Moneybagg Yo,"KJ, what you got going on, man?
Eza on the beat, he cooked that shit
Fourth quarter
I ain't even gon' lie, man, I've been on some shit lately
For real (yo, Nick Papz, make it slap)

I walk in the spot (stepping)
I got what it takes to get to the top
The money I make, these niggas cannot compete
They know that I'm getting a lot

She give me the twat (give me that)
Been counting that pussy, I'm getting a lot
I know she a thot, still give her a shot
I fuck from the back 'til it's twisting my sight
You know that I'm hot (hot, hot, hot)

Yeah, this that city boy shit (real city)
This shit crazy, we ain't even kiss
I put some shit on her wrist (let's get it)
Shit was amazing, welcome the Lord's magic, flick of the wrist (brr)
Pocket a chop' right next to the drop, you can't even pick up the shit

I gotta take a flick of this shit (let's go)
I know my haters be sick of this shit
I put a bitch on a bitch (on a bitch)
Wake in the morning, I look in the mirror
It's crazy, I'm really this rich (shit crazy)
Feeding my children and making my millions
I'm really as real as it gets (for real)

Popping them wheelies and shit
..."
Intro (Hate On Me),Meek Mill,"Every time I get back in the streets, this shit get darker
Yeah, woo

Niggas can't hate on me now (hate on me)
We do it all, we changin' the laws
They thinkin' 'bout takin' me down (yeah)
We done put bulletproof all on the cars
I told 'em bring 80 more rounds (brrr)
I put baguettes on all of my dawgs, they fall, they makin' a sound
I'm on a yacht with a bad thot, we got the streets in a headlock
Nigga tried to peep through the backyard
All he seen was the choppas and red dots (brrr)
I got my mama a black card, yeah, I really put on for the head knock
This that 1AC, you ain't one of them rappers
And none of your steppers can step with my steppers
This chess, not checkers
I told my dawgs, ""Don't stress, don't rush it,"" I really got off
It's seven on seven and I'm gettin' better and better
And better, my nigga, it's never no pressure (let's get it)
Every time I hit up one of y'all
Niggas with smoke, it's never no pressure
Niggas is pussy
If I put a price on your head, shit, I get the special
You know I be hangin' wit' Jews
Get money wit' Russians, I'm makin' my moves
The hood behind me, I never could lose, I'm good, I'm solid
Can't play me like one of them dudes
You probably end up on the news
We mobbin' and wildin'
You know we ain't tuckin' them
Jewels, especially for none of you dudes
We slidin' wit' choppas
..."
What's Free (feat. Rick Ross & Jay Z),Meek Mill feat. JAY Z & Rick Ross,"You know what free is nigga?

What's free?
Free is when nobody else could tell us what to be
Free is when the TV ain't controllin' what we see
Told my niggas ""I need you""
Through all the fame you know I stay true
Pray my niggas stay free
Made a few mistakes but this ain't where I wanna be
Before I'm judged by 12, put a 12 on my feet
Told my niggas, ""I need you""
Stay up I know these times ain't true
Real life, stay free

Since a lad, I was cunning
Just got a pad out in London
I keep stackin' my money
I need a ladder by summer
AK shots, niggas duckin' stray shots
Been a Top Dawg, that's before the K.Dots
Crackin' in '06, immaculate showmanship
Talk it like you Mitch, disastrous on the strip
Holdin' on your bitch, coulda never sold you a brick
With them people you never been on a list
Mona Lisa to me ain't nothin' but a bitch
Hanging pictures like niggas swinging from his dick
We so different you thought these didn't exist
The Megalodon never seen on his wrist
I'm from the South where they never make it this rich
God is the greatest, but Satan been on his shit
Walkin' the pavement, I pray I'm illuminated
Over a decade and never nobody's favorite
Pot and kilo go hand in hand like we gamblin' huf
My amigo, a million grams and we countin' 'em up
You was dead broke, I let you hold a pack
You paid for it, but I fucked
Around and stole the track
Screaming ""gang gang"" now you wanna rap
Racketeering charges caught him on a tap
Lookin' for a bond lawyers wanna tax
Purple hair got them faggots on your back

Whats free?
Free is when nobody else could tell us what to be
Free is when the TV ain't controlling what we see
Told my niggas ""I need you""
Through all the fame you know I stay true
Pray my niggas stay free
Made a few mistakes but this ain't where I wanna be
Before I'm judged by 12, put a 12 on my feet
Told my niggas ""I need you""
Stay up I know these times ain't true
Real life, what's free?

Fed investigations, heard they plottin' like I trap
20 mil' in cash, they know I got that off a rap
Maybe it's the Michael Rubins or the Robert Krafts
Or the billionaire from Marcy
Ain't no way they got my back
Seein' how I prevailed now
..."
Letter To Nipsey (feat. Roddy Ricch),Meek Mill feat. Roddy Ricch,"Yeah
I just left your viewing at the Staples Center (I did)
Obama wrote you a letter, yeah, you made it nigga (You made it)
I even heard you had some players to come to Vegas with us
And them suckers could never kill you, it only made you bigger (Yeah)

And every time I see some fire I see blue
And every time I close my eyes, see Snupe and I see you
When I be on the West side (West side), you know how we do (How we do)
Hustle and motivate, turning one into a two (Two, two), two into four
Hurt my heart, I seen you on the floor, do it for the hood

And I don't even wanna do it no more
When these niggas you do it for, they'll shoot you and all
The only thing I can say is you with the Lord, blessings (Blessings)
And I ain't finna say it like I'm your main homie (I won't)
But when we lost you it really put some pain on me (It did)

Got me scared to go outside without that flame on me (Brrt)
And when them niggas went against me
You ain't change on me (You ain't change on me)
Told me it was wrong or righ,t some of my longest nights (You do)
You made me cry nigga (Cry nigga), and I don't cry nigga (Cry nigga)
..."
Halo (feat. Brent Faiyaz),Meek Mill feat. Brent Faiyaz,"Should I just wear a halo?
'Cause I already know too many angels (know too many angels)
Should I just wear a halo? (Mhm)
'Cause I already know too many angels (know too many angels, angels), yeah

Yeah
I've been grinding all my life, chasing dreams
Not really paying attention what it do to my health
And I could tell you that this life ain't what it seems
But no matter what it is, I stay true to myself

I say, ""Young nigga rumble and stay humble through the fake shit""
All this money and bad bitches, I'm in the matrix
Tryna be successful and still fighting open cases
At times, I get angry at God, like, ""Why you take Nip'?""

Got me losing hope in the hood, I'm feeling hatred
From niggas that look just like me, same color faces
She say she ain't fuck in a year, I told her, ""Taste it""
She did it on the first night, and I'm looking for my first wife

Tryna find trust in my heart, but it don't work right
Think I'm getting numb to the pain, 'cause it don't hurt right
I just wanna go to my hood, wheelie a dirt bike
And post up on the block with the ones that think

..."
A1 Everything,Meek Mill feat. Kendrick Lamar,"See I'm an A1 type of guy
I crush A1 hoes (true)
Rock A1 clothes (true)
Drive A1 whips (true)
And still pour A1 sauce on my shit
I come from the bottom

Crushing all these hoes, rocking all this ice
Selling all these O's, nigga, I done did that twice
So I'm just riding round in my Rolls, about to get on my bike
Just to touchdown in my hood and I put that on my life
I'm like yeah nigga, I'm there nigga, I ball hard all year, nigga
My diamonds all clear, smack my chain you dead nigga
I don't know what you heard, and I don't know what you thought
But all my dogs they murk, and all my dogs go hard, fuck that
My new young chick look exactly like Rihanna
Ass like Nicki, but she yellow like Madonna
I take her to the mall, buy her all types of designers
YSL, fly Chanel, all that Dolce & Gabbana
I jump right back like 36, lean hard when I turn the whip
..."
Middle of It (feat. Vory),Meek Mill feat. Vory,"We got Xander
Yeah
(Yo Nick Papz, make it slap)

I'm not the leader but follow the lead
Poppin' some shit that's out of your league
Shawty identical, Bella Hadid (shawty identical)
She beggin', tellin' me, ""Please""
The Patek keep tellin' her to freeze (freeze)
She think I tell her to chill and I'm tryna tell her to leave (leave)
Woah, woah, woah

Bendin' in the corner, I (bendin', bendin')
Bendin' the corner, I drum up some shit
I think you know about times it was lit
17 summers been runnin' this shit
Yeah, yeah, yeah, yeah
I heard lil' shawty was fuckin' a Crip
Bought her a blue Birkin now I got her whole crew
Workin' on me, suckin' that dick, woah (woah, woah)

I do not party with thots (I don't)
I'd rather party with Glocks
Hangin' with killers and callin' the shots (yeah)
Niggas be beefin' with gang
Can't go to the club, we in all the spots, yeah
Niggas be beefin' with gang
No cuffin' no hoes, yeah, all of them thots

All of my homies a hunnid and more (woo)
Ain't got a honey bun, go to the store (woo)
Not to demean you but I gotta teach you
..."
Ride For You (feat. Kehlani),Meek Mill feat. Kehlani,"Baby, you, oh, you were made for me (you know, you know)
Hit my phone, I'ma be there instantly (you know, you know)
I pray for us (I pray, I pray)
Pray your heart I'll always keep (you know, you know)
(I pray my motherfucking soul to keep)
Just know I'ma ride for you, baby (I'ma ride)
Slide for you, baby, just say you got me (yeah)

Westside shorty, last summer was a hot girl
But it don't matter now, she my girl
A bucket list since you are my world
I introduced you to some other shit

Now you can't relate if niggas not thorough or not real
I'll tell you how I feel, but it's a lot still
'Cause I don't even know how I feel
But I'll kill for the love of the love you and I built
It's ride or die still
Your bills turning into my bills, shit done got real

It's not fake, every other day another sky date
Fuck in the '62s while we driving on the highway
..."
Dangerous (feat. Jeremih and PnB Rock),Meek Mill,"Right Now Sound
Hitmaka!

You feel the vibe, it's contagious
Look in yo eyes, shit is dangerous
Grateful I had all the patience
I know you going through some changes
You taking pictures, know your angles
Ooh, no we ain't perfect, but we damn close
Ooh, you give me something I can't pay for
No angel, but you got a halo

When it's nights like this, I really wanna be right here
I really wanna take you there
When it's nights like this, I really wanna be right here
I really wanna take you there

It was nights like this, feeling right like this
I never really spent no time like this, uh
The second time at the crib knowing I might not hit
You said, ""What I look like?"", like my bitch, yeah
Look into your eyes, shit is dangerous
The pussy wet, I call it angel dust
I done put so many diamond chains on you
They get tangled up
I never felt like this, this strange as fuck
(That's what it's like loving you)
Got yo ex nigga calling, but he can't do much
'Cause you with the kid now
..."
Love Train,Meek Mill,"I only can tell you the truth
Yeah, uh

I seen so many niggas switchin', I had to cut 'em off
So many bitches actin' different, we stopped fuckin' raw
I upped the score, I went for more, shit, I'm like, ""It's up to y'all""
And you ain't gotta talk behind my back you know my number, call me, mmm
'Cause I heard they said I wasn't feeling a thing

I'm in the studio all night, shit, I'm like, ""What do you mean?""
Shit, all them nights on private flights, feel like we livin' the dream
'Member we said we wouldn't let these bitches get in between
When people told me you was jealous, I just wouldn't believe
And when niggas told me you was fuckin', no, I couldn't believe it

I tried to give you all my blessings, but you couldn't receive it
'Cause you was listenin' to people that was listenin' to people
I had to get up and leave you 'cause you couldn't even see it
All this fame, turned into a monster, shit like Resident Evil
And once the love turn toxic, think it's better I don't see you
'Cause I've been runnin' up my millions, shit been revving my ego
I put my money 'fore my bitches so we never get equal

'Cause then the world keep turning, the money keep burning
Living and I'm learning, ain't no bitches I'm concerned with
I seen everybody change on me 'bout some money
Learned to get rich, came home, niggas actin' funny, I can't cut it

I'm just strappin' and I ain't talkin'
Swear to God, none of y'all niggas better not grab for my coffin
Swear to God, bad bitches playing Simon Says when I'm talkin'
And I can't say I'm runnin' them trenches when I ain't walkin'
..."
Flexing,Meek Mill,"Stuntin' all on my old hoes, styling all on my haters
Presidential is rose gold, say it's time to get paper
Glock 10 with that laser, fuck around meet yo maker
Every month got me pissin', fuck around with them papers
So I can't smoke no kush, I can't smoke no kush
But I ran throught them hoes, and I ain't talk 'bout Reggie Bush
I say y'all fuck niggas so fold, hoes ain't never gon' look
In the kitchen with that pyrex and a 9 piece, let me cook
Now hold up, I went and bought a Phantom cause I wanted to
And now I drive the same one some stunnas do
Real nigga, 100 proof
I'mma need a 100 M's to make me comfortable

Stuntin' all on my old hoes, styling all on my haters
Presidential is rose gold, say it's time to get paper
Big crib with no neighbors, ball hard but no Lakers
Spent a 100 racks on my chain, all them hoes know my name
..."
Fall Thru,Meek Mill,"Yeah
Sad to say it but I love you
Don't take no offense but you're my bitch

Yeah, you gone fall through every time a nigga call you
That's why I ball how I ball when I spoil you
We was in Miami, first time I saw you
I was in a Phantom when I pulled up on you
It was late nights, late nights in the bando
Fucking on you good got you bustin' like you Rambo
If you keep it hood so you really understand though
You was there through my ups and downs like a camel

Ass all fat say she get it from her mama
She just want the money, she ain't fuckin' with no bloggers
Fuck you on a PJ the whole way to the Bahamas
Gucci, Valentino, baby, I can be your stylist
Fuck me with your friend, yeah yeah, you was wildin'
1942 shots turn you to a monster
Thuggin' like you 2Pac, you know that I got you
Love the way you ride it, move them hips like you Rihanna
I was supposed to hit, I was never s'pose to cuff you
Put you on my homie 'cause he say he wanna fuck you
When he asked me 'bout you, I just told him that I want you
..."
Dangerous (feat. Jeremih and PnB Rock),Meek Mill feat. Jeremih & PnB Rock,"Right Now Sound
Hitmaka!

You feel the vibe, it's contagious
Look in your eyes, shit is dangerous
Grateful I had all the patience
I know you going through some changes
You taking pictures, know your angles
Ooh, no we ain't perfect, but we damn close
Ooh, you give me something I can't pay for

No angel, but you got a halo
When it's nights like this
I really wanna be right here
I really wanna take you there (you there, oh, there)
When it's nights like this
I really wanna be right here (be right here)
I really wanna take you there (you there, baby, yeah, yeah)

Uh, it was nights like this, feelin' right like this
I never really spent no time like this, huh
The second time at the crib knowin' I might not hit
You said, ""What I look like?"" Like my bitch, yeah

Look into your eyes, shit is dangerous
The pussy wet, I call it angel dust
I done put so many diamond chains on you, they get tangled up
I never felt like this, it's strange as fuck (that's what it's like loving you)

..."
Breakdown (feat. Demi Lovato),G-Eazy feat. Demi Lovato,"I got big plans, but none of them feel like mine (yeah)
And I miss days where I used to feel like me (you know)
'Cause I've been trapped in all the freedom
Throw my heart up at the ceiling
I take another drink, so I can kill the voice of reason
I got big plans, but none of them feel like mine (too much is too much)

You know
Uh, been fighting my demons, but they ain't fighting fair
But I keep saying, ""Everything's alright, I swear""
All alone in a dark space, ain't no light in there
What's fucked up is I might actually like it there
Pouring everything on this paper my pen is on
Feel like I'm breaking in places they put the pressure on
I'm the one in my circle they all depending on
To do it though, I need these drugs I've become dependent on

Someone tried to confront me, now we don't get along
In my business, they tripping on what I'm sipping on
They can't reach the pedestal that my head is on
But truthfully, I've been breaking down, just finally letting on
..."
"Me, Myself & I",Bebe Rexha feat. G-Eazy,"Ooh, it's just me, myself and I
Solo ride until I die
'Cause I, got me for life (yeah)
Ooh, I don't need a hand to hold
Even when the night is cold
I got that fire in my soul

Uh, and as far as I can see, I just need privacy
Plus a whole lot of tree, fuck all this modesty
I just need space to do me
Give the world what they're tryna see
A Stella Maxwell right beside of me
A Ferrari, I'm buyin' three
A closet of Saint Laurent, get what I want when I want
'Cause this hunger is driving me, yeah

I just need to be alone, I just need to be at home
Understand what I'm speaking on
If time is money I need a loan
But regardless I'll always keep keepin' on
Fuck fake friends
We don't take L's, we just make M's
While y'all follow, we just make trends
I'm right back to work when that break ends, yeah

Ooh, it's just me, myself and I
Solo ride until I die
'Cause I, got me for life (got me for life, yeah)
Ooh, I don't need a hand to hold
Even when the night is cold
I got that fire in my soul

I don't need anything to get me through the night
Except the beat that's in my heart
And it's keeping me alive (keeps me alive)
I don't need anything to make me satisfied (you know)
..."
You Don't Own Me (feat. G-Eazy),SAYGRACE feat. G-Eazy,"You don't own me

You don't own me

Well, let's go
But I'm Gerald and I can always have just what I want
She's the baddest I would love to flaunt
Take her shopping, you know Yves Saint Laurent
But nope, she ain't with it though
All because she got her own dough
Boss bossed if you don't know
She could never ever be a broke hoe

You don't own me
I'm not just one of your many toys
You don't own me
Don't say I can't go with other boys

Don't tell me what to do
And don't tell me what to say
Please, when I go out with you
Don't put me on display

You don't own me
..."
Lady Killers II (Christoph Andersson Remix),G-Eazy feat. Christoph Andersson,"Got-got on my, got-got on my leather jacket, thriller
There sure ain't nothin' iller
Man, I'm a ladykiller, if I want her I'ma steal her
I promise I could make her fly away like caterpillars
So, if you don't know by now, then you should probably get familiar (get familiar)
(Da-da, la-la, da-da, la-la, la-la, la-la)
So, if you don't know by now, then you should probably get familiar (get familiar)
(Da-da, la-la, da-da, la-la, la-la, la-la)
So, if you don't know by now, then you should probably get familiar (get familiar)

Ju-ju-ju-just give her, you got no hope, not no sliver
All day I keep drinkin' whiskey straight until I got no liver
Cold like, ""Brrr!"" make you shiver
Snatchin' bitches, leave you bitter
I see what I like then I just go-go get her ladykiller, get familiar

Yeah (yeah, girl), I respond to what I like
Swear, this shit goes down like every other night
Man, I fuckin' love this life
Put it down and these hoes say they love the pipe
No, I'm not the ""bring back to your mother"" type, no

Off that whiskey, 101 proof
I'm just mixin' that with Vermouth
She'll be taken if you're aloof
We just fucked on top of that roof
This is real life, these ain't just no raps I kick in the booth
Every thing I say is the truth
Make her disappear just like, ""Poof!""

Then she's gone
Addicted, don't know what the fuck I'm on
..."
"Me, Myself & I",G-Eazy feat. Bebe Rexha,"Woooh, it's just me, myself and I
Solo ride until I die
'Cause I got me for life (yeah)
Woooh, I don't need a hand to hold
Even when the night is cold
I got that fire in my soul (uh)

And as far as I can see, I just need privacy
Plus a whole lot of tree, fuck all this modesty
I just need space to do me, give the world what they're tryna see
A Stella Maxwell right beside of me
A Ferrari, I'm buyin' three
A closet of Saint Laurent, get what I want when I want
'Cause this hunger is driving me, yeah

I just need to be alone, I just need to be at home
Understand what I'm speaking on, if time is money I need a loan
But regardless I'll always keep keepin' on
Fuck fake friends, we don't take L's, we just make M's
While y'all follow, we just make trends
I'm right back to work when that break ends, yeah

Woooh, it's just me, myself and I
Solo ride until I die
'Cause I got me for life (got me for life, yeah)
Woooh, I don't need a hand to hold
Even when the night is cold
I got that fire in my soul

I don't need anything to get me through the night
Except the beat that's in my heart
Yeah, it's keeping me alive (keeps me alive)
I don't need anything to make me satisfied (you know)
'Cause the music fills me good and it gets me every time
..."
Him & I,G-Eazy feat. Halsey,"Cross my heart, hope to die
To my lover, I'd never lie
He said, ""Be true"", I swear I'll try
In the end, it's him and I
He's out his head, I'm out my mind
We got that love, the crazy kind
I am his, and he is mine
In the end, it's him and I, him and I

My '65 speeding up the PCH, a hell of a ride
They don't wanna see us make it, they just wanna divide
2017 Bonnie and Clyde
Wouldn't see the point of living on if one of us died, yeah, uh
Got that kind of style everybody try to rip off
YSL dress under when she takes the mink off
Silk on her body, pull it down and watch it slip off
Ever catch me cheating, she would try to cut my (ha-ha-ha)

Crazy, but I love her, I could never run from her
Hit it, no rubber never would let no one touch her
Swear we drive each other mad, she be so stubborn
But, what the fuck is love with no pain, no suffer?
Intense, this shit, it gets dense
She knows when I'm out of it like she could just sense
If I had a million dollars or was down to ten cents
She'd be down for whatever, never gotta convince (you know?)

Cross my heart, hope to die
To my lover, I'd never lie (I love you, baby)
He said, ""Be true"", I swear I'll try
In the end, it's him and I
He's out his head, I'm out my mind
We got that love, the crazy kind
I am his, and he is mine
In the end, it's him and I

..."
No Limit (feat. A$AP Rocky & Cardi B),G-Eazy feat. A$AP Rocky & Cardi B,"If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls

It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga pipe up
Hunnit bands from the safe
In your face, what'd you say? (Ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub (Ayy, ayy, ayy)

Yeah, fuck with me and get some money (Yeah, ayy)
Fuck with me and get some money (Ayy, yeah)
Fuck with me and get some money (Ayy, yeah)
Fuck with G and get some money

No limit, I'm a fucking soldier, ayy
Always lit, yeah, I'm never sober
It's been three days in a row, your bitch coming over
Told that bitch to kick rock, she act like it's a boulder, ayy

'Rari, shopping, let me, cop it
Always, poppin', hella, poppin'
She's a bopper, homie, hoppin'
Ain't no, stopping, album, dropping

Got the city on fire
Bitch lying on me like she tired
I might have to fuck around and call Kamaiyah
Hoe stirring up the pot, jambalaya (Young Gerald)

If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls

It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga pipe up
..."
I Mean It (feat. Remo),G-Eazy feat. Remo,"You know if I say something I mean it
These things happen
Yeah

If I ever said I'm never scared
Just know I mean it
If I ever said I fucked your bitch
Just know I mean it
And if I ever said I'm gettin' money
Just know I mean it
And oh Lord, oh Lord knows
He knows I mean it

Yeah, you know I mean it
You know I mean it
Just know I mean it
Just know I mean it
Oh yeah, oh yeah, oh yeah

If I say that shit then I mean it
She calls me, I screen it, I'm only fuckin' if it's convenient
You lie on pussy, that's weak shit
We pass pussy 'round, that's G shit
But you ain't fam so what is this ""we"" shit?
You cuff yours and then leash it

Yeah listen, I'm tellin' you, it's my world, I does what I wish to
If you're mad well too bad, sounds like a personal issue
I walk in, they all stare like ""Who the fuck is this dude?""
..."
Tumblr Girls (feat. Christoph Andersson),G-Eazy feat. Christoph Andersson,"'Cause I'm in love with these Tumblr girls
With skinny waists and drug habits
Pretty faces love status, she acts as if she's the baddest
Man, I swear she's just like tons of girls
She expects the free drinks
And I'm successful she thinks
Always comes around when weed stinks
We fuck off and on, off and on
Only ever really fuck off and on
Never see her these days 'cause I'm often gone
When I'm home off tour never stop for long
Back this week from across the pond
Noticed I was close to the block she's on
Elevator to the floor her loft is on
Drinking whiskey, she likes vodka strong
But after we fuck it's over, walked out the door; that's closure
No, I can't stay here and hold her
Tomorrow act like I don't know her
Wouldn't ever be here sober, can't tell which one is colder
My clothing's on, we both did wrong, I gotta go that's what I told her, yeah
..."
Been On,G-Eazy,"Yeah, rappers try to brag about accomplishments
But nothing you've been dropping yet astonishes
Yeah, next shit I'm about to say is obvious
But criticism's worth some more than compliments
Yeah, yeah, we're living at a different speed
Trying to sprout a money tree, we started out with just a seed
Always working, never hindered by a little fatigue
Rapping in arenas, I'm still playing in a different league

Yeah, you still playing wiffle ball
Dropping opportunities I'm picking up a different call
Holding out for bigger checks to lift us all
Never kept a safety net to catch us even if I fall
Rather risk it all than play it safe
You like to sprinkle salt and player hate
My team can eat, I'll share a plate
I had the black on black, I swear you're late

Every day, I got some fly shit on
Keeping all black outfit on
I already bagged most the chicks
That you out here trying to get on
You just catching up to what I've been on
..."
Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy feat. Tory Lanez & Tyga,"Everything foreign

I know you don't do one night stands
So I'm the closest thing
Now can we fuck and still be friends, though?
And if you ever fucked a friend (I'm just sayin')
I'd be the closest thing (Haha, I, I'd be the closest thing)
So can we fuck and still be friends, though?

You know?
Bitch, you can't be my girlfriend
Uh, got a girl, and my girl got a girl too (Too)
Scarface crib, it's my world too, uh (It's my world too)
My pillow recognize her perfume
Tell her man, ""Relax,"" you'll make it home by curfew (Haha)
Time for cologne, I look like I'm on (Ayy)
Playboy mansion, Honey, I'm home (Honey I'm home)

Backdoor to Oracle, fuck it I'm home (Woo)
King of the bay, getting dome on my throne, uh
Diamond in the rough, uncut gyms
She not my girlfriend though, we just friends (Just friends)
Somehow I fit six, all in one Benz (One Benz)
All of us fuck buddies all fuck friends

Lookin' like a snack, she'll devour me (Ayy)
Your boyfriend's whole salary's my hourly (Haha)
Throwin' bands in Miami, it's showerin' (It's showerin')
Bad boy, I'm the white Mike Lowry (Haha, yee!)

..."
Good Life (with G-Eazy & Kehlani),G-EAZY feat. Kehlani,"Raise a cup up for all my day ones
Two middle fingers for the haters
Life's only getting greater
Straight up from nothing we go
Higher than the highest skyscraper
No Little League, we major
The proof is in the paper

We put the good in, the good in the good life
We put the good in, the good in the good life
We put the bad in the past, now we alright (Eazy)
Ayy, ayy, ayy, ayy, (Kehlani, I got you) ayy

Yeah, and it's a feeling that I can't explain
How you make it and your team still stay the same
Stay down from the jump and they never change
Man, this a moment I could never trade, yeah
I told my moms not to stress no more
Go hit the Bentley store
And no credit card debts no more (I love you mom)
I bought the crib and it's in escrow now
So, you don't ever have to worry about how you gon' pay rent no more

I put my team in position, now they makin' a killin'
Stackin' blue faces straight to the ceiling
Out in Vegas I'm with 'em
Ordering bottles of that Ace when they sit 'em
'Til there ain't enough space up on the table to fit 'em
Go ahead and

Raise a cup up for all my day ones
..."
Make Me...,Britney Spears feat. G-Eazy,"Friday, I'm dreaming a mile a minute 'bout somebody
This feeling, I wanna go with it, 'cause there's no way
We're hiding away from this tonight, oh, this tonight
Can tell you want me
By the way I see you starin' 'cross the room, babe
No shame in the game
Just cut the shit, be honest
Yeah, you know what you gotta do tonight, do tonight

I just want you to make me move
Like it ain't a choice for you
Like you got a job to do
Just want you to raise my roof
Something sensational (sensational, oh yeah)

And make me ooh, ooh, ooh, ooh
And make me ooh, ooh, ooh, ooh

No rules
From the bar to the car, let's take it back to my room
Igniting the heat of the moment, let the sparks fuse
Blowing up to the ceiling, we're burning bright
When we cut the light
'Cause you're the flame I can't do without
..."
Drifting (feat. Chris Brown & Tory Lanez),G-Eazy feat. Chris Brown & Tory Lanez,"Got this flight to London, I ain't pop no Xans for it
In case you was wondering, I ain't even plan for it
I just left L.A., barely caught the plane
Fucking TSA, swear a nigga ran for it
Ain't used to this fame shit
This you-all-know-my-name-shit

Me, I'm just the same kid
Fucked around and made it
Fucked over my main chick
Damn she was the main chick
Thinking 'bout the game
I shouldn't have played, but I played it

And now I'm missing your love, I'ma roll up

I'm faded once again, I don't know where I am
But I just know I'm drifting far from you
I'm tryna keep my head strong, but my heart
Won't just let me grow away from you
Don't you know we're drifting off, drifting off?
I know you think that it's my fault for falling off
All this hope and disregard, drifting off
I know you think there ain't no fault, I fall apart
And now I'm missing your love

I blame it on the distance
That's why I'm fucking with these bitches
These numbers in my phone
A text pops up, she's like, ""Who is this?""
You probably got a mistress
..."
Provide (feat. Chris Brown & Mark Morrison),G-Eazy feat. Chris Brown & Mark Morrison,"Woah
I'm just sayin'
Come on (you know who you are)
Ooh, yeah (haha)
It's a vibe (Hitmaka!)

It's the return of the mack, RIP to Furl
I promise you ain't nothin' like these LA girls
And we can sip slurricane listin' to Earl
Who knew we'd bring the Bay to the world?

Love letters to you hit different than any shit that I wrote
I sent flowers to your office, hope you get the note
I put an inside joke between us right there in the quote
I'll sing your praises all day, I'll hit the Whitney note (ooh)

'Cause you're my queen, all that I need, yadadamean
Radiohead and rainbows, ultralight beams
This wordplay's more like tennis, don't need a team
It's just me and you and it's everything that it seems, for real

Ooh, just vibe with me (vibe)
Come on, let's do some things we never do
Switch sides, get dry
So what? So what? I need (so what? I need)
Don't turn down now
Tell me if you need a timeout
Girl, it's just you and us, baby
Rollin' up, baby, you playin'
..."
